$D_1$	$X_1$	\Delta_d_1	      $D_2$	$X_2$	\Delta_d_2
3.00E-02	2.00E-02	1.43E+02	3.00E-02	2.00E-02	1.43E+02
4.00E-02	2.30E-02	8.01E+01	4.00E-02	2.30E-02	8.01E+01
5.00E-02	2.80E-02	5.19E+01	5.00E-02	2.70E-02	5.14E+01
6.00E-02	3.20E-02	3.62E+01	6.00E-02	3.20E-02	3.62E+01
7.00E-02	3.50E-02	2.66E+01	7.00E-02	3.60E-02	2.68E+01
8.00E-02	4.10E-02	2.09E+01	8.00E-02	4.10E-02	2.09E+01
9.00E-02	4.60E-02	1.68E+01	9.00E-02	4.60E-02	1.68E+01
1.00E-01	5.00E-02	1.37E+01	1.00E-01	5.10E-02	1.38E+01
1.10E-01	5.30E-02	1.14E+01	1.10E-01	5.60E-02	1.16E+01
1.20E-01	5.60E-02	9.70E+00	1.20E-01	6.00E-02	9.86E+00
1.30E-01	6.00E-02	8.38E+00	1.30E-01	6.60E-02	8.56E+00
1.40E-01	6.60E-02	7.39E+00	1.40E-01	7.00E-02	7.48E+00
1.50E-01	7.30E-02	6.58E+00	1.50E-01	7.60E-02	6.63E+00
